Generating 4000000000 using 100 maps with step of 40000000
14/06/16 17:22:20 INFO mapred.JobClient: Running job: job_201406131535_0045
14/06/16 17:22:21 INFO mapred.JobClient:  map 0% reduce 0%
14/06/16 17:22:39 INFO mapred.JobClient:  map 1% reduce 0%
14/06/16 17:22:42 INFO mapred.JobClient:  map 2% reduce 0%
14/06/16 17:22:45 INFO mapred.JobClient:  map 3% reduce 0%
14/06/16 17:22:47 INFO mapred.JobClient:  map 4% reduce 0%
14/06/16 17:22:50 INFO mapred.JobClient:  map 5% reduce 0%
14/06/16 17:22:53 INFO mapred.JobClient:  map 6% reduce 0%
14/06/16 17:22:56 INFO mapred.JobClient:  map 7% reduce 0%
14/06/16 17:22:59 INFO mapred.JobClient:  map 8% reduce 0%
14/06/16 17:23:03 INFO mapred.JobClient:  map 9% reduce 0%
14/06/16 17:23:06 INFO mapred.JobClient:  map 10% reduce 0%
14/06/16 17:23:09 INFO mapred.JobClient:  map 11% reduce 0%
14/06/16 17:23:13 INFO mapred.JobClient:  map 12% reduce 0%
14/06/16 17:23:16 INFO mapred.JobClient:  map 13% reduce 0%
14/06/16 17:23:19 INFO mapred.JobClient:  map 14% reduce 0%
14/06/16 17:23:23 INFO mapred.JobClient:  map 15% reduce 0%
14/06/16 17:23:26 INFO mapred.JobClient:  map 16% reduce 0%
14/06/16 17:23:30 INFO mapred.JobClient:  map 17% reduce 0%
14/06/16 17:23:34 INFO mapred.JobClient:  map 18% reduce 0%
14/06/16 17:23:37 INFO mapred.JobClient:  map 19% reduce 0%
14/06/16 17:23:41 INFO mapred.JobClient:  map 20% reduce 0%
14/06/16 17:23:46 INFO mapred.JobClient:  map 21% reduce 0%
14/06/16 17:23:49 INFO mapred.JobClient:  map 22% reduce 0%
14/06/16 17:23:53 INFO mapred.JobClient:  map 23% reduce 0%
14/06/16 17:23:57 INFO mapred.JobClient:  map 24% reduce 0%
14/06/16 17:24:01 INFO mapred.JobClient:  map 25% reduce 0%
14/06/16 17:24:05 INFO mapred.JobClient:  map 26% reduce 0%
14/06/16 17:24:08 INFO mapred.JobClient:  map 27% reduce 0%
14/06/16 17:24:12 INFO mapred.JobClient:  map 28% reduce 0%
14/06/16 17:24:16 INFO mapred.JobClient:  map 29% reduce 0%
14/06/16 17:24:20 INFO mapred.JobClient:  map 30% reduce 0%
14/06/16 17:24:24 INFO mapred.JobClient:  map 31% reduce 0%
14/06/16 17:24:28 INFO mapred.JobClient:  map 32% reduce 0%
14/06/16 17:24:32 INFO mapred.JobClient:  map 33% reduce 0%
14/06/16 17:24:35 INFO mapred.JobClient:  map 34% reduce 0%
14/06/16 17:24:40 INFO mapred.JobClient:  map 35% reduce 0%
14/06/16 17:24:44 INFO mapred.JobClient:  map 36% reduce 0%
14/06/16 17:24:47 INFO mapred.JobClient:  map 37% reduce 0%
14/06/16 17:24:52 INFO mapred.JobClient:  map 38% reduce 0%
14/06/16 17:24:56 INFO mapred.JobClient:  map 39% reduce 0%
14/06/16 17:25:01 INFO mapred.JobClient:  map 40% reduce 0%
14/06/16 17:25:06 INFO mapred.JobClient:  map 41% reduce 0%
14/06/16 17:25:09 INFO mapred.JobClient:  map 42% reduce 0%
14/06/16 17:25:13 INFO mapred.JobClient:  map 43% reduce 0%
14/06/16 17:25:17 INFO mapred.JobClient:  map 44% reduce 0%
14/06/16 17:25:21 INFO mapred.JobClient:  map 45% reduce 0%
14/06/16 17:25:25 INFO mapred.JobClient:  map 46% reduce 0%
14/06/16 17:25:29 INFO mapred.JobClient:  map 47% reduce 0%
14/06/16 17:25:34 INFO mapred.JobClient:  map 48% reduce 0%
14/06/16 17:25:38 INFO mapred.JobClient:  map 49% reduce 0%
14/06/16 17:25:42 INFO mapred.JobClient:  map 50% reduce 0%
14/06/16 17:25:46 INFO mapred.JobClient:  map 51% reduce 0%
14/06/16 17:25:50 INFO mapred.JobClient:  map 52% reduce 0%
14/06/16 17:25:54 INFO mapred.JobClient:  map 53% reduce 0%
14/06/16 17:25:58 INFO mapred.JobClient:  map 54% reduce 0%
14/06/16 17:26:02 INFO mapred.JobClient:  map 55% reduce 0%
14/06/16 17:26:07 INFO mapred.JobClient:  map 56% reduce 0%
14/06/16 17:26:11 INFO mapred.JobClient:  map 57% reduce 0%
14/06/16 17:26:15 INFO mapred.JobClient:  map 58% reduce 0%
14/06/16 17:26:20 INFO mapred.JobClient:  map 59% reduce 0%
14/06/16 17:26:25 INFO mapred.JobClient:  map 60% reduce 0%
14/06/16 17:26:28 INFO mapred.JobClient:  map 61% reduce 0%
14/06/16 17:26:32 INFO mapred.JobClient:  map 62% reduce 0%
14/06/16 17:26:36 INFO mapred.JobClient:  map 63% reduce 0%
