Generating 2000000000 using 100 maps with step of 20000000
14/06/16 14:41:23 INFO mapred.JobClient: Running job: job_201406131535_0041
14/06/16 14:41:24 INFO mapred.JobClient:  map 0% reduce 0%
14/06/16 14:41:40 INFO mapred.JobClient:  map 2% reduce 0%
14/06/16 14:41:41 INFO mapred.JobClient:  map 3% reduce 0%
14/06/16 14:41:43 INFO mapred.JobClient:  map 4% reduce 0%
14/06/16 14:41:44 INFO mapred.JobClient:  map 5% reduce 0%
14/06/16 14:41:45 INFO mapred.JobClient:  map 6% reduce 0%
14/06/16 14:41:46 INFO mapred.JobClient:  map 7% reduce 0%
14/06/16 14:41:47 INFO mapred.JobClient:  map 8% reduce 0%
14/06/16 14:41:48 INFO mapred.JobClient:  map 9% reduce 0%
14/06/16 14:41:50 INFO mapred.JobClient:  map 10% reduce 0%
14/06/16 14:41:51 INFO mapred.JobClient:  map 11% reduce 0%
14/06/16 14:41:53 INFO mapred.JobClient:  map 12% reduce 0%
14/06/16 14:41:55 INFO mapred.JobClient:  map 13% reduce 0%
14/06/16 14:41:57 INFO mapred.JobClient:  map 14% reduce 0%
14/06/16 14:42:00 INFO mapred.JobClient:  map 16% reduce 0%
14/06/16 14:42:02 INFO mapred.JobClient:  map 17% reduce 0%
14/06/16 14:42:04 INFO mapred.JobClient:  map 18% reduce 0%
14/06/16 14:42:05 INFO mapred.JobClient:  map 19% reduce 0%
14/06/16 14:42:07 INFO mapred.JobClient:  map 20% reduce 0%
14/06/16 14:42:08 INFO mapred.JobClient:  map 21% reduce 0%
14/06/16 14:42:10 INFO mapred.JobClient:  map 22% reduce 0%
14/06/16 14:42:12 INFO mapred.JobClient:  map 23% reduce 0%
14/06/16 14:42:14 INFO mapred.JobClient:  map 24% reduce 0%
14/06/16 14:42:15 INFO mapred.JobClient:  map 25% reduce 0%
14/06/16 14:42:17 INFO mapred.JobClient:  map 26% reduce 0%
14/06/16 14:42:20 INFO mapred.JobClient:  map 27% reduce 0%
14/06/16 14:42:22 INFO mapred.JobClient:  map 28% reduce 0%
14/06/16 14:42:24 INFO mapred.JobClient:  map 29% reduce 0%
14/06/16 14:42:26 INFO mapred.JobClient:  map 30% reduce 0%
14/06/16 14:42:28 INFO mapred.JobClient:  map 31% reduce 0%
14/06/16 14:42:30 INFO mapred.JobClient:  map 32% reduce 0%
14/06/16 14:42:32 INFO mapred.JobClient:  map 33% reduce 0%
14/06/16 14:42:34 INFO mapred.JobClient:  map 34% reduce 0%
14/06/16 14:42:36 INFO mapred.JobClient:  map 35% reduce 0%
14/06/16 14:42:38 INFO mapred.JobClient:  map 36% reduce 0%
14/06/16 14:42:40 INFO mapred.JobClient:  map 37% reduce 0%
